Configuration,Rule Source,Sarif Identifier,Alerts
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/member-test-non-container,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/mismatched-multiple-assignment,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/missing-call-to-delete,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/missing-call-to-init,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/missing-equals,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/mixed-returns,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/mixed-tuple-returns,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/modification-of-default-value,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/modification-of-locals,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/multiple-calls-to-delete,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/multiple-calls-to-init,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/multiple-definition,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/mutable-descriptor,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/nested-loops-with-same-variable,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/nested-loops-with-same-variable-reused,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/non-iterable-in-for-loop,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/nosql-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/not-named-cls,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/not-named-self,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/old-style-octal-literal,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/overly-complex-delete,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/overly-large-range,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/overly-permissive-file,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/overwritten-inherited-attribute,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/pam-auth-bypass,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/paramiko-missing-host-key-validation,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/partial-ssrf,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/path-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/percent-format/not-mapping,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/percent-format/unsupported-character,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/percent-format/wrong-arguments,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/polluting-import,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/polynomial-redos,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/print-during-import,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/procedure-return-value-used,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/property-in-old-style-class,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/pythagorean,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/raise-not-implemented,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/raises-tuple,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/redos,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/redundant-assignment,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/redundant-comparison,0
